segment,is_target,users,conversion_rate,orders_per_user,gmv_per_user
At Risk,False,54874,1.0,2.1725407296716113,101.55700769034516
At Risk,True,73862,1.0,2.3006552760553465,106.49338766889605
Champions,False,70931,1.0,7.423580662897746,365.9722748868619
Champions,True,105524,1.0,7.442411205033926,367.55697793866796
Low Engagement,False,145039,1.0,1.0,43.037169726763146
Low Engagement,True,145527,1.0,1.0,43.00864870436414
Loyal,False,73757,1.0,2.7652290630041896,124.9794565939504
Loyal,True,104914,1.0,2.856825590483634,127.27002421030559
Potential,False,15927,1.0,1.0,90.43805989828593
Potential,True,16082,1.0,1.0,91.20522136550181
